dataset,dataset_variant,split_name,method,prior_mode,N,tau_mult,Tsplit,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,DIVI,1.0,200,1.0,120,0.9887738890369047,0.015191972571688596,1.0,0.9833169328185415,0.021796212252328407,1.0,0.7680969589209982,0.09515632631315468,0.7692307692307693,0.9962500000000001,0.00509772911258172,1.0,3.0,0.0,3.0,16.5,4.045790534942655,16.0,0.165,0.04045790534942655,0.16,0.55734256464998,0.2098865278307596,0.48456705400008104,449.1796875,0.589582957988383,449.33984375,2.0,0.0,2.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,DIVI,1.0,1000,1.0,120,0.9643802209294815,0.10678529902320881,0.9880512343922585,0.9613472723586582,0.07954261268954432,0.9789999742320782,0.9904761904761905,0.019542444801621962,1.0,0.98085,0.06802497606336258,0.996,3.0,0.0,3.0,10.2,0.4103913408340618,10.0,0.10200000000000001,0.004103913408340613,0.1,1.1230735017500364,0.18584742068423393,1.0518299655000192,460.603515625,5.01126107434576,460.556640625,2.0,0.0,2.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,DIVI,2.0,200,1.0,120,0.9056261678682253,0.1729975886929983,0.9701140482451658,0.9098505545827775,0.12412032264097732,0.9527265174670482,0.1818181818181818,0.0,0.1818181818181818,0.942,0.13742366302021913,0.99,3.0,0.0,3.0,100.0,0.0,100.0,1.0,0.0,1.0,0.4079149457999847,0.05060978358975789,0.3961843339998268,448.9435546875,0.35126878035504094,448.921875,2.0,0.0,2.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,DIVI,2.0,1000,1.0,120,0.9313013075381396,0.1684059622092452,0.9850798470315036,0.940550558266638,0.10852248929109477,0.9740638686471339,0.1818181818181818,0.0,0.1818181818181818,0.9479,0.14589033372257468,0.995,3.0,0.0,3.0,100.0,0.0,100.0,1.0,0.0,1.0,0.9384482820999438,0.14434422664895086,0.8788682745000642,460.4126953125,3.7922447203747325,460.310546875,2.0,0.0,2.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,DIVI,3.0,200,1.0,120,0.8138746366812615,0.18998539002723308,0.9264970389423073,0.8187913212813476,0.16147108526769274,0.9043475187606154,0.18746742641211855,0.041177274256819454,0.1986582694414019,0.9167500000000001,0.09919776896896952,0.975,3.0,0.0,3.0,70.5,4.594046490610946,70.5,0.705,0.04594046490610943,0.705,0.4155764280000085,0.060688368959249644,0.39946520349985803,449.0017578125,0.8842736102189845,449.142578125,2.0,0.0,2.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,DIVI,3.0,1000,1.0,120,0.8853857418598489,0.19292067047795877,0.9702193903466017,0.8901522262969642,0.13990566770146204,0.9495305446399692,0.1895338089511861,0.04081024306025867,0.20339632277834518,0.9336499999999999,0.13320869064425903,0.99,3.0,0.0,3.0,70.6,4.761689218179438,70.5,0.706,0.04761689218179439,0.705,0.9422952156999145,0.14655642086231846,0.8913173794999238,460.3873046875,3.7720194301599825,459.830078125,2.0,0.0,2.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,gmm_oracle,,200,1.0,120,0.853161053582385,0.2376660373807716,0.9848865697285946,0.8748982002499492,0.18731249634825095,0.9763112474994168,,,,0.89975,0.17185883895312393,0.995,3.0,0.0,3.0,,,,,,,,,,448.0861328125,1.6167119238389018,448.791015625,0.0,0.0,0.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,gmm_oracle,,1000,1.0,120,0.970647241498844,0.09685840928975031,0.9925105497099422,0.9706707534084378,0.06639175472177522,0.9851389773532726,,,,0.9808,0.07434811433562494,0.9975,3.0,0.0,3.0,,,,,,,,,,455.5951171875,5.185036377451258,456.298828125,0.0,0.0,0.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,kmeans_oracle,,200,1.0,120,0.9126475723959727,0.03394075498514808,0.926312090026166,0.8855142828568239,0.035741202222200966,0.8958775803042095,,,,0.97,0.01224744871391589,0.975,3.0,0.0,3.0,,,,,,,,,,448.081640625,1.6234290803977203,448.791015625,0.0,0.0,0.0
synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,kmeans_oracle,,1000,1.0,120,0.986253282774803,0.005146498548342099,0.9850754056303933,0.9744268083892992,0.009005553120289571,0.9732896186203412,,,,0.9954000000000001,0.0017290094517412565,0.995,3.0,0.0,3.0,,,,,,,,,,455.5927734375,5.186324504645174,456.298828125,0.0,0.0,0.0
