experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed0__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:57Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,0,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8728032139844207,0.9066127929577492,0.5405405405405406,0.855,27,0.27,0.40852490067481995,0.34520524740219116,36142.75,33969.546875,2173.203125,34992.81640625,5.749667167663574,0.8520162630011328,0.11388104599973303,0.7358082840000861,0.002309149000211619,0.0017887610010802746,0.002452694280000287,452.34375,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed1__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:58Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,1,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8739158247239887,0.9071264832528719,0.5128205128205128,0.86,29,0.29,0.407753586769104,0.33940446376800537,36137.28125,33462.3203125,2674.9609375,35001.17578125,5.680517673492432,0.8915211200001067,0.12353944500137004,0.7656355949984572,0.0024620059957669582,0.001805604999390198,0.0025521186499948573,451.80859375,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed2__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:59Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,2,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8739158247239887,0.9071264832528719,0.5263157894736842,0.86,28,0.28,0.41341111063957214,0.3888542056083679,36151.296875,33975.69921875,2175.59765625,34918.80078125,6.162489891052246,0.8480012670006545,0.11349154499839642,0.7320760269976745,0.0023147590000007767,0.0017901360006362665,0.0024402534233255815,451.6640625,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed3__divi,run_divi_sensitivity_synth.py,2026-03-25T13:17:59Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,3,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8709470684613785,0.9057611001961952,0.5128205128205128,0.84,29,0.29,0.4091731905937195,0.36671769618988037,36143.8125,33573.578125,2570.234375,34976.20703125,5.838022232055664,0.8598440099995059,0.11361321699951077,0.7439800089996425,0.002378056997258682,0.0017221099988091737,0.0024799333633321414,452.50390625,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed4__divi,run_divi_sensitivity_synth.py,2026-03-25T13:18:01Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,4,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8728032139844207,0.9066127929577492,0.5555555555555556,0.855,26,0.26,0.40695545077323914,0.37131133675575256,36134.453125,34137.95703125,1996.49609375,34997.703125,5.6837592124938965,1.087111251999886,0.11749367000084021,0.9667587930016452,0.0029504359990824014,0.0023257840002770536,0.003222529310005484,451.05859375,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed5__divi,run_divi_sensitivity_synth.py,2026-03-25T13:18:02Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,5,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8752745873288594,0.9077570869667241,0.5,0.865,30,0.3,0.4108831286430359,0.3629617393016815,36138.61328125,33452.71875,2685.89453125,34955.2578125,5.916780471801758,1.2302518200012855,0.16590250999797718,1.0608666480002285,0.0039495969976997,0.002777450998109998,0.0035362221600007617,451.06640625,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed6__divi,run_divi_sensitivity_synth.py,2026-03-25T13:18:03Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,6,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8719372920321685,0.9062146470278732,0.5263157894736842,0.85,28,0.28,0.40774762630462646,0.34374451637268066,36145.07421875,33822.12109375,2322.953125,34994.53125,5.752713203430176,1.1606735089990252,0.17770461899999646,0.9805495550026535,0.004006942999694729,0.0017053849987860303,0.0032684985166755117,448.46484375,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed7__divi,run_divi_sensitivity_synth.py,2026-03-25T13:18:04Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,7,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8752745873288594,0.9077570869667239,0.5405405405405406,0.865,27,0.27,0.40229129791259766,0.3698287308216095,36139.20703125,34105.11328125,2034.09375,35073.05078125,5.330776691436768,0.8791699899993546,0.1158065589988837,0.761102865999419,0.002827855001669377,0.0017211609992955346,0.0025370095533313966,452.2109375,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed8__divi,run_divi_sensitivity_synth.py,2026-03-25T13:18:05Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,8,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.880820652049919,0.9103692378616045,0.5128205128205128,0.88,29,0.29,0.40966957807540894,0.3707686960697174,36151.23828125,33610.671875,2540.56640625,34975.22265625,5.880084991455078,0.8435383629985154,0.11590160399646265,0.7251136720005888,0.002279885004099924,0.0019299830019008368,0.002417045573335296,451.8359375,ok,False,,,lr,0.02,0.01,True
sens_synth__synthetic_n200_d100_fixedseed3101__lr__seed9__divi,run_divi_sensitivity_synth.py,2026-03-25T13:18:06Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n200_d100_fixedseed3101,sens_lr,200,100,3,0.1,0.9,3.0,3101,9,divi,1,divi,200.0,1.0,80,auto_entropy,141.89385332046726,1.0,0.02,1.0,0.1,300,300,4,3,80,240,"[80, 160, 240]",0.8752745873288594,0.9077570869667239,0.5263157894736842,0.865,28,0.28,0.40632307529449463,0.3544072210788727,36150.484375,33729.41015625,2421.07421875,35018.37890625,5.660528182983398,0.8581494589998329,0.11353651600074954,0.7422333499998786,0.0025177300012728665,0.0018019489980360959,0.0024741111666662617,450.921875,ok,False,,,lr,0.02,0.01,True
