n,seed,d,d_info,k,delta,rough_ari,rough_nmi,prior_f1_thresh,prior_f1_top,prior_auroc,prior_auprc,prior_selected_dims,prior_signal_mean,prior_noise_mean,prior_signal_noise_gap,final_ari,final_nmi,final_f1_thresh,final_f1_top,final_auroc,final_auprc,final_selected_dims,final_signal_mean,final_noise_mean,final_signal_noise_gap,delta_ari,delta_nmi,delta_f1_thresh,delta_f1_top,delta_auprc,step_a_eval_sec,fit_sec,final_K,status,error
1000,11,100,10,3,1.0,0.6537233651181801,0.6140306875186835,1.0,1.0,1.0,0.9999999999999999,10,0.9469386875629425,0.16205822055538496,0.7848804670075575,0.7774353188830339,0.7257050219921105,0.7407407407407407,1.0,1.0,0.9999999999999999,17,0.9470673620700836,0.2991912096738815,0.647876152396202,0.12371195376485378,0.111674334473427,-0.2592592592592593,0.0,0.0,0.3212438379996456,2.864936508000028,3,ok,
1000,12,100,10,3,1.0,0.6911829071555082,0.6555591361933885,0.9090909090909091,1.0,1.0,0.9999999999999999,12,0.9488877415657043,0.17988189541631275,0.7690058461493916,0.8021473066583138,0.751273795111709,0.6060606060606061,1.0,1.0,0.9999999999999999,23,0.9489308655261993,0.3223744384116597,0.6265564271145396,0.11096439950280557,0.09571465891832054,-0.303030303030303,0.0,0.0,0.21868739599995024,2.8570507500007807,3,ok,
1000,13,100,10,3,1.0,0.5514850297966846,0.53746797706634,0.9090909090909091,1.0,1.0,0.9999999999999999,12,0.9465165615081788,0.18559415555662578,0.7609224059515529,0.7840421375812935,0.7356744196127819,0.5263157894736842,1.0,1.0,0.9999999999999999,28,0.9465919315814972,0.3215192636681928,0.6250726679133045,0.23255710778460892,0.19820644254644193,-0.3827751196172249,0.0,0.0,0.22812796600010188,3.3368729410012747,3,ok,
1000,14,100,10,3,1.0,0.5679286367801977,0.5468638375618036,1.0,1.0,1.0,0.9999999999999999,10,0.9491425275802612,0.18319544022281964,0.7659470873574415,0.7748378538577694,0.723911450286786,0.5555555555555556,1.0,1.0,0.9999999999999999,26,0.9492190659046174,0.3300545048382547,0.6191645610663626,0.2069092170775717,0.17704761272498248,-0.4444444444444444,0.0,0.0,0.20701264699891908,3.4341845409999223,3,ok,
1000,15,100,10,3,1.0,0.6405860284486802,0.6085563990820881,0.9523809523809523,1.0,1.0,0.9999999999999999,11,0.9461388766765595,0.18036063830885624,0.7657782383677032,0.8136454727627235,0.7617927886948809,0.5555555555555556,1.0,1.0,0.9999999999999999,26,0.9462393581867218,0.32008917232354483,0.626150185863177,0.1730594443140433,0.15323638961279273,-0.39682539682539675,0.0,0.0,0.3173974820001604,3.3685158570006024,3,ok,
1000,16,100,10,3,1.0,0.5551739625891289,0.5409518934677202,1.0,1.0,1.0,0.9999999999999999,10,0.9443850040435791,0.1953395308719741,0.749045473171605,0.7377147486961435,0.6915529422691644,0.47619047619047616,1.0,1.0,0.9999999999999999,32,0.9444846391677857,0.3411806075937218,0.6033040315740639,0.18254078610701463,0.1506010488014442,-0.5238095238095238,0.0,0.0,0.2162953919996653,2.9056752910000796,3,ok,
1000,17,100,10,3,1.0,0.6163597567762332,0.5765458081094508,0.8333333333333334,1.0,1.0,0.9999999999999999,14,0.943397980928421,0.17804222607778178,0.7653557548506392,0.7351594246359466,0.6857639785583167,0.6451612903225806,1.0,1.0,0.9999999999999999,21,0.9435575366020202,0.31071580201387405,0.6328417345881462,0.11879966785971341,0.10921817044886595,-0.18817204301075274,0.0,0.0,0.2031511169989244,2.7039077330009604,3,ok,
1000,18,100,10,3,1.0,0.6838918014657607,0.6431278460227193,1.0,1.0,1.0,0.9999999999999999,10,0.9444449961185455,0.1746715956264072,0.7697734004921383,0.7916527139898071,0.741870556809595,0.5882352941176471,1.0,1.0,0.9999999999999999,24,0.9444969058036804,0.3169713823331727,0.6275255234705077,0.1077609125240464,0.09874271078687569,-0.4117647058823529,0.0,0.0,0.2572603030002938,3.187744670000029,3,ok,
1000,19,100,10,3,1.0,0.607305429413002,0.5809281067638977,0.9523809523809523,1.0,1.0,0.9999999999999999,11,0.947471421957016,0.18217649882038434,0.7652949231366316,0.7882581470054824,0.7362870283011228,0.5555555555555556,1.0,1.0,0.9999999999999999,26,0.9475551664829254,0.3197539183000723,0.627801248182853,0.18095271759248033,0.15535892153722508,-0.39682539682539675,0.0,0.0,0.2742381480002223,3.7477009289996204,3,ok,
1000,20,100,10,3,1.0,0.5754656872094955,0.5497174748202387,0.9523809523809523,1.0,1.0,0.9999999999999999,11,0.9480985820293426,0.18338286549680763,0.764715716532535,0.7167838477867208,0.6687516499957723,0.5263157894736842,1.0,1.0,0.9999999999999999,28,0.9481393575668335,0.3237528007063601,0.6243865568604734,0.14131816057722524,0.11903417517553361,-0.42606516290726815,0.0,0.0,0.19959865800046828,3.4474990280014026,3,ok,
