dataset,dataset_variant,method,runtime_axis,runtime_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,acc_mean,acc_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,peak_memory_mb_mean,peak_memory_mb_sd,split_count_mean,split_count_sd,dataset_label,method_label
synthetic,synthetic_n1000_d1000_noise3.0,gmm_oracle,D,1000,19,0.4055386623089744,0.03201543536106061,0.45994792624218445,0.02145922834094553,0.6421052631578947,0.028335087664986276,3.0,0.0,,0.0,2.823995105263158,0.6626987955158894,736.1227384868421,90.31434202097087,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n1000_d1000_noise3.0,gmm_oracle,N,1000,15,0.45691797580240273,0.06731817279838258,0.502694136705626,0.06994651973065351,0.6866000000000001,0.0675931103843326,3.0,0.0,,0.0,2.858250333333333,0.5483958302499424,861.08828125,65.68729006925706,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n1000_d1000_noise3.0,kmeans_oracle,D,1000,19,0.43515032567143036,0.016079445858364204,0.46650111338013656,0.019717502962206434,0.6931052631578948,0.031037423176335042,3.0,0.0,,0.0,0.42574657894736845,0.08012374770476795,740.6221217105264,94.87309839175656,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n1000_d1000_noise3.0,kmeans_oracle,N,1000,15,0.5047903179229752,0.03714530923591575,0.536119306581021,0.05800782695221004,0.7454,0.04010842448022253,3.0,0.0,,0.0,0.5091404,0.25109486662580055,861.08828125,65.68729006925706,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n1000_d1000_noise3.0,spkm,D,1000,18,0.9970015045323003,4.569640269980427e-16,0.9938029489046498,2.2848201349902134e-16,0.999,1.1424100674951067e-16,3.0,0.0,873.0,0.0,0.980487388888889,0.3583393668385482,741.3569878472222,89.91926395267225,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n1000_d1000_noise3.0,spkm,N,1000,15,0.9970015045323,4.596760034896314e-16,0.9938029489046496,0.0,0.9990000000000002,2.298380017448157e-16,3.0,0.0,871.0,0.0,0.9934849333333333,0.29146434908418334,861.08828125,65.68729006925706,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n1000_d100_noise3.0,divi,D,100,20,0.8746756865565141,0.005529628756575812,0.9074422702852786,0.0025882100881314688,0.8638000000000001,0.016763368584976884,4.0,0.0,10.0,0.0,2.957485387849374,1.4419582418034667,474.3611328125,11.432324162310387,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n1000_d100_noise3.0,gmm_oracle,D,100,20,0.9988006018129202,0.0015071178547690907,0.9975211795618598,0.0031147908854050185,0.9995999999999998,0.0005026246899500351,3.0,0.0,,0.0,0.12371950000000001,0.09150874109153669,474.7625,11.133479795906183,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n1000_d100_noise3.0,kmeans_oracle,D,100,20,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,0.0,0.045347,0.009100465257047951,474.4158203125,11.385143514582651,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n1000_d100_noise3.0,spkm,D,100,20,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,95.0,0.0,0.12267850000000002,0.02327798975653317,474.8484375,11.085079644978007,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n1000_d2000_noise3.0,divi,D,2000,15,0.6143914425454197,0.18734264636352058,0.6711173448952017,0.15167653670457099,0.7302,0.10763708866902175,4.0,0.0,68.6,2.823371844342961,39.99246843759999,2.8374083216526222,1001.73984375,110.70064987324645,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n1000_d2000_noise3.0,gmm_oracle,D,2000,15,0.3710127425118254,0.027315337529196897,0.40047423769104645,0.024964249505866565,0.6285999999999999,0.027740635485562663,3.0,0.0,,0.0,12.094835466666666,1.4602108437600896,991.5263020833333,116.87095138698676,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n1000_d2000_noise3.0,kmeans_oracle,D,2000,15,0.3579933327616268,0.013993868422476857,0.3960705327487278,0.017863272242397938,0.6138,0.03978010988995811,3.0,0.0,,0.0,1.2834076,0.45751495316777824,988.5520833333334,117.79690614076725,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n1000_d2000_noise3.0,spkm,D,2000,15,0.9970015045323,4.596760034896314e-16,0.9938029489046496,0.0,0.9990000000000002,2.298380017448157e-16,3.0,0.0,834.0,0.0,2.2160754,0.6595211907753121,991.5265625,116.87107677895372,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n1000_d5000_noise3.0,divi,D,5000,15,0.022540553897098803,0.01759778076788655,0.02345054525244444,0.015117409207477952,0.40180000000000005,0.027954554957236272,4.0,0.0,2338.6,5.0539941771689,164.09790764819985,13.459417058022073,936.4721354166667,115.29205547803363,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n1000_d5000_noise3.0,gmm_oracle,D,5000,15,0.0037774335608829405,0.0034400452402200393,0.00634858634486224,0.0033125978193838386,0.3644,0.012568668528186621,3.0,0.0,,0.0,103.53450046666669,2.6521018980276194,939.3010416666667,117.45501366759032,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n1000_d5000_noise3.0,kmeans_oracle,D,5000,15,0.008054588604133639,0.00789415796162874,0.00839921136767758,0.006230029879648585,0.37720000000000004,0.017188866828768655,3.0,0.0,,0.0,1.0485547333333334,0.39928240730992587,936.4721354166667,115.29205547803363,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n1000_d5000_noise3.0,spkm,D,5000,15,0.9940120180601146,3.447570026172235e-16,0.9876086482064035,3.447570026172235e-16,0.9979999999999997,2.298380017448157e-16,3.0,0.0,884.0,0.0,4.5696062,0.6798758186487546,939.3013020833333,117.45516190982086,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n1000_d500_noise3.0,divi,D,500,20,0.867302771353202,0.0037275245033262967,0.8963548670894632,0.0024901968820783193,0.8486,0.01615191042961532,4.0,0.0,15.0,0.6488856845230502,11.71491356969982,0.6101217994218496,553.7357421875,38.275427236470414,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n1000_d500_noise3.0,gmm_oracle,D,500,20,0.6167212736531604,0.16982371616519307,0.6188149095609303,0.12668295330145576,0.8088,0.12383758463576823,3.0,0.0,,0.0,1.0907866,0.33207325431968043,554.620703125,37.0925477105328,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n1000_d500_noise3.0,kmeans_oracle,D,500,20,0.8083876697860081,0.06226444587573361,0.7712095804327245,0.057527987228479266,0.9296000000000001,0.025699477774747393,3.0,0.0,,0.0,0.3428482,0.14257853807476373,552.5982421875,39.44441583449364,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n1000_d500_noise3.0,spkm,D,500,20,0.994003000015024,0.0,0.9876059147486773,1.1390647892519134e-16,0.9980000000000002,0.0,3.0,0.0,448.0,0.0,0.54085455,0.1669706745198957,554.621875,37.092102316750875,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n2000_d1000_noise3.0,divi,N,2000,15,0.8687791130773295,0.0029542794835642275,0.8996395854948414,0.0019829204607897245,0.8462000000000001,0.01304634595805058,4.0,0.0,10.8,1.0141851056742197,41.51458377146628,2.0680228281145006,1088.5106770833333,99.31834307559166,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n2000_d1000_noise3.0,gmm_oracle,N,2000,15,0.4867650183989491,0.09870941670664096,0.518454087463056,0.06849663125862004,0.7151,0.08431979940339382,3.0,0.0,,0.0,4.565444933333334,0.6928142362971957,1088.5106770833333,99.31834307559166,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n2000_d1000_noise3.0,kmeans_oracle,N,2000,15,0.8004262072649748,0.047239858495354156,0.7628144967767052,0.04370861681925529,0.9269999999999999,0.019052558883257662,3.0,0.0,,0.0,1.3619880666666668,0.32349367073703905,1088.5106770833333,99.31834307559166,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n2000_d1000_noise3.0,spkm,N,2000,15,0.9984988740632053,3.447570026172235e-16,0.9965853313238785,2.298380017448157e-16,0.9994999999999997,2.298380017448157e-16,3.0,0.0,783.0,0.0,2.1906093333333336,0.4157042855484906,1066.6481770833334,109.70308655572255,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n200_d1000_noise3.0,divi,N,200,15,0.29266209282803646,0.02614923990047393,0.40349585678647365,0.023483831302458437,0.51,0.040883108632154816,4.0,0.0,354.6,3.850788416489723,4.957824657266428,0.39167766463539133,857.6036458333333,118.26719763860805,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n200_d1000_noise3.0,gmm_oracle,N,200,15,0.03804236502721465,0.04025764840511713,0.04899183920591235,0.03758839479197971,0.433,0.0437443873950868,3.0,0.0,,0.0,1.7109608,0.5558813265019792,855.58671875,122.99687075826779,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n200_d1000_noise3.0,kmeans_oracle,N,200,15,0.05160181582788999,0.03638713552282802,0.06029872683415949,0.03324177836872628,0.4539999999999999,0.03808824340546943,3.0,0.0,,0.0,0.06778573333333333,0.08837539228320022,857.6036458333333,118.26719763860805,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n200_d1000_noise3.0,spkm,N,200,15,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,208.0,0.0,0.18993073333333335,0.12336288462179186,855.58671875,122.99687075826779,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n200_d500_noise3.0,divi,N,200,2,0.5616738074188453,0.3452054092159507,0.6275044975036004,0.2781848268426939,0.6775,0.20859650045003147,4.0,0.0,66.0,1.4142135623730951,2.5012355364997347,0.03205135787478194,532.552734375,0.06905339660024878,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n200_d500_noise3.0,gmm_oracle,N,200,2,0.3343971012064505,0.0319996306446536,0.3719022045260091,0.06207995783599859,0.5974999999999999,0.03181980515339467,3.0,0.0,,0.0,0.41928750000000004,0.04333503908501755,532.59375,0.011048543456039806,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n200_d500_noise3.0,kmeans_oracle,N,200,2,0.36652498187994187,0.07743531522340959,0.3955951653847126,0.09558686441515203,0.6325000000000001,0.017677669529663705,3.0,0.0,,0.0,0.032395999999999994,0.0004256782822743004,532.552734375,0.06905339660024878,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n200_d500_noise3.0,spkm,N,200,2,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,188.0,0.0,0.116008,0.0011158145007123693,532.595703125,0.013810679320049757,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n5000_d1000_noise3.0,divi,N,5000,15,0.8813076028086377,0.024937877992394896,0.9001093945023331,0.007651214488777849,0.8757199999999999,0.04210285365286164,4.0,0.0,10.0,0.0,173.60076392166738,9.286491189466311,1029.5950520833333,152.36919353596303,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n5000_d1000_noise3.0,gmm_oracle,N,5000,15,0.977976671742302,0.0027595195496723634,0.9594269114271293,0.004264045490385143,0.9926000000000001,0.0009350324669687845,3.0,0.0,,0.0,23.361743399999998,0.795507676602432,1025.0174479166667,148.9809218386879,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n5000_d1000_noise3.0,kmeans_oracle,N,5000,15,0.9804567360009749,0.0017038040389902958,0.9633332893313132,0.0027270830247157077,0.99344,0.0005766900628339768,3.0,0.0,,0.0,2.6986790666666667,0.6159142610391096,1025.0174479166667,148.9809218386879,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n5000_d1000_noise3.0,spkm,N,5000,15,0.994608107236344,3.447570026172235e-16,0.9878178584818716,2.298380017448157e-16,0.9982000000000003,2.298380017448157e-16,3.0,0.0,571.0,0.0,6.3362404,0.42698172591739797,1025.0174479166667,148.9809218386879,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n500_d1000_noise3.0,divi,N,500,15,0.6995475097045218,0.03398771824873676,0.7364945502462376,0.030135081993996726,0.7816,0.027194537266569858,4.0,0.0,73.2,2.808151400069855,10.539852674199938,0.2909978484544016,799.378125,72.4243394984188,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n500_d1000_noise3.0,gmm_oracle,N,500,15,0.36633860711649624,0.030454134266737858,0.3913668623731484,0.033537542873991605,0.6255999999999999,0.018113925187939976,3.0,0.0,,0.0,1.9308748666666666,0.15430650584000793,799.378125,72.4243394984188,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n500_d1000_noise3.0,kmeans_oracle,N,500,15,0.3623243768831542,0.023118560442161113,0.39357843932377495,0.029024386517896454,0.6131999999999999,0.01664417530034372,3.0,0.0,,0.0,0.2931629333333333,0.13586252759655185,799.378125,72.4243394984188,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n500_d1000_noise3.0,spkm,N,500,15,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,471.0,0.0,0.38360039999999995,0.017049527654956983,792.77421875,84.47170446408465,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n500_d100_noise3.0,divi,D,100,2,0.8685465633497811,0.003995473440026801,0.8972010470846036,0.0018135694430168338,0.855,0.018384776310850254,4.0,0.0,13.5,2.1213203435596424,2.1517591404990526,0.66372463252608,456.51171875,1.762242681238349,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n500_d100_noise3.0,gmm_oracle,D,100,2,0.9586059755872657,0.024880891332964884,0.9327685638119423,0.03574365760542168,0.986,0.008485281374238578,3.0,0.0,,0.0,0.1778225,0.20610960590059846,457.390625,0.5192815424338708,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n500_d100_noise3.0,kmeans_oracle,D,100,2,0.9703441552305504,0.0,0.9494674866996587,0.0,0.99,0.0,3.0,0.0,,0.0,0.0354115,0.011236633859835426,456.740234375,1.4390727851491847,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n500_d100_noise3.0,spkm,D,100,2,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,95.0,0.0,0.1202065,0.051903759059436144,457.61328125,0.2099223256647563,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n500_d500_noise3.0,divi,D,500,2,0.8649148856931749,0.00555547934652603,0.8931041429058979,0.006082185143705355,0.848,0.014142135623730963,4.0,0.0,49.5,0.7071067811865476,6.8178443529996,0.4076825108571604,510.64453125,33.58757210636101,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n500_d500_noise3.0,divi,N,500,2,0.8639539130534788,0.0015682574498188894,0.8955992730732277,0.0007420325714890604,0.849,0.007071067811865481,4.0,0.0,44.0,1.4142135623730951,6.257528562498919,0.8003984837343359,508.740234375,5.974499873853524,3.0,0.0,Synthetic,DIVI-Info
synthetic,synthetic_n500_d500_noise3.0,gmm_oracle,D,500,2,0.46400262038657814,0.0677462163525108,0.48331821725989277,0.045802773248868875,0.734,0.07636753236814713,3.0,0.0,,0.0,0.7066585,0.049066846653315704,514.892578125,27.579926602139363,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n500_d500_noise3.0,gmm_oracle,N,500,2,0.4214178568044012,0.014140434289915328,0.45981125774348885,0.005351783639541326,0.6699999999999999,0.025455844122715655,3.0,0.0,,0.0,0.630279,0.06344444883518181,508.744140625,5.974499873853524,0.0,0.0,Synthetic,GMM
synthetic,synthetic_n500_d500_noise3.0,kmeans_oracle,D,500,2,0.5006754906872307,0.018061706189689223,0.5062051420064988,0.0011859787953229129,0.776,0.02262741699796954,3.0,0.0,,0.0,0.09585350000000001,0.005226226219749769,510.64453125,33.58757210636101,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n500_d500_noise3.0,kmeans_oracle,N,500,2,0.48387354684507655,0.036742805365477284,0.4928904544513368,0.013050170059302523,0.769,0.04101219330881979,3.0,0.0,,0.0,0.0848575,0.0009128748545118332,508.740234375,5.974499873853524,0.0,0.0,Synthetic,KMeans
synthetic,synthetic_n500_d500_noise3.0,spkm,D,500,2,0.9939819401820036,0.0,0.9888622336804004,0.0,0.998,0.0,3.0,0.0,469.0,0.0,0.21008,0.007990306627407991,514.8984375,27.577164466275352,0.0,0.0,Synthetic,SPKM
synthetic,synthetic_n500_d500_noise3.0,spkm,N,500,2,0.9939820863447736,0.0,0.9888620561213708,0.0,0.998,0.0,3.0,0.0,466.0,0.0,0.2302035,0.011345528304138158,508.744140625,5.974499873853524,0.0,0.0,Synthetic,SPKM
