experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,runtime_axis,runtime_value,baseline_timeout_sec,baseline_converged_flag,source_runs_csv,sensitivity_factor,sensitivity_value,default_reference_value,fixed_data_flag
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed1__kmeans_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:29:42Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,1,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,3,0,,,[],0.0071329290929249,0.0077586041695862,,0.385,,,,,,,,,,0.872504,,0.872504,,,,867.58203125,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed1__gmm_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:31:24Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,1,gmm_oracle,,gmm_oracle,,,,,,,,,,,,3,0,,,[],0.0015298308922352,0.0034876840507061,,0.367,,,,,,,,,,101.928473,,101.928473,,,,867.58203125,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed1__spkm,run_divi_runtime_synth_direct.py,2026-03-25T12:31:29Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,1,spkm,,spkm,,,,,,,,,,,,3,0,,,[],0.9940120180601144,0.9876086482064032,0.0223713646532438,0.998,884.0,0.1768,,,,,,,,5.797493,,5.797493,,,,867.58203125,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed2__divi,run_divi_runtime_synth_direct.py,2026-03-25T12:34:03Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,2,divi,1.0,divi,1000.0,1.0,80.0,auto_entropy,7094.692666023363,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.0541234891310442,0.0506583690502209,0.0085470085470085,0.448,2330.0,0.466,0.4696812629699707,0.4771412312984466,9103380.0,8688861.0,414519.0,8822572.0,280.8075561523437,153.9161436880022,7.074560847999237,146.33057587899748,0.2531612550046702,0.501018410002871,0.4877685862633249,886.34375,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed2__kmeans_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:34:04Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,2,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,3,0,,,[],0.0068418120906703,0.0073096190530018,,0.376,,,,,,,,,,0.919791,,0.919791,,,,886.34375,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed2__gmm_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:35:46Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,2,gmm_oracle,,gmm_oracle,,,,,,,,,,,,3,0,,,[],0.0042171871452192,0.0087811904233404,,0.367,,,,,,,,,,101.127025,,101.127025,,,,886.34375,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed2__spkm,run_divi_runtime_synth_direct.py,2026-03-25T12:35:51Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,2,spkm,,spkm,,,,,,,,,,,,3,0,,,[],0.9940120180601144,0.9876086482064032,0.0223713646532438,0.998,884.0,0.1768,,,,,,,,5.729658,,5.729658,,,,886.34375,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed3__divi,run_divi_runtime_synth_direct.py,2026-03-25T12:38:41Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,3,divi,1.0,divi,1000.0,1.0,80.0,auto_entropy,7094.692666023363,1.0,0.01,1.0,0.1,300.0,300.0,4,3,80.0,240.0,"[80, 160, 240]",0.0212455012871885,0.0213395163302736,0.0085106382978723,0.405,2340.0,0.468,0.4696703255176544,0.4789872169494629,9103636.0,8698838.0,404798.0,8822986.0,280.6501770019531,169.35042337499908,7.06763416800095,161.66615172599995,0.4796309420016769,0.6071714499994414,0.5388871724199998,924.47265625,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed3__kmeans_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:38:42Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,3,kmeans_oracle,,kmeans_oracle,,,,,,,,,,,,3,0,,,[],0.0029950130901122,0.0045090944592385,,0.356,,,,,,,,,,0.802902,,0.802902,,,,924.47265625,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed3__gmm_oracle,run_divi_runtime_synth_direct.py,2026-03-25T12:40:24Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,3,gmm_oracle,,gmm_oracle,,,,,,,,,,,,3,0,,,[],0.0029950130901122,0.0045090944592385,,0.356,,,,,,,,,,102.678873,,102.678873,,,,924.47265625,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
runtime_synth__synthetic_n1000_d5000_noise3.0__runtime_dscale__seed3__spkm,run_divi_runtime_synth_direct.py,2026-03-25T12:40:28Z,unknown,x86_64,cpu,x86_64,synthetic,synthetic_n1000_d5000_noise3.0,runtime_dscale,1000,5000,3,0.002,0.998,3.0,20265325.0,3,spkm,,spkm,,,,,,,,,,,,3,0,,,[],0.9940120180601144,0.9876086482064032,0.0223713646532438,0.998,884.0,0.1768,,,,,,,,4.064695,,4.064695,,,,924.47265625,ok,False,,,D,5000,,True,outputs_revision/runtime_synth/runs.csv,,,,
