setting,variant,seed,n,d,d_info,k_true,status,error,ARI,NMI,runtime_sec,final_K,correct_K,over_split,under_split,split_proposals,accepted_splits,rejected_splits,active_dims,feature_f1_thresh,feature_f1_topd
correlated_noise,No-StepA-FixedK,12,200,100,10,3,ok,,0.9848865697285946,0.9763112474994167,1.2840859470015857,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,12,200,100,10,3,ok,,0.5662045710863473,0.7336648154055044,1.3469895989983343,6,0,1,0,4,4,0,52,0.3225806451612903,1.0
correlated_noise,Fixed-K,13,200,100,10,3,ok,,1.0,1.0,1.107413732999703,3,1,0,0,0,0,0,35,0.4444444444444444,1.0
correlated_noise,Full-DIVI,13,200,100,10,3,ok,,1.0,1.0,1.0476807410013862,3,1,0,0,2,2,0,47,0.3508771929824561,1.0
correlated_noise,No-Gating,13,200,100,10,3,ok,,0.5411948195517032,0.6470507522897261,0.5848654920009722,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,13,200,100,10,3,ok,,0.7960660513250908,0.7684911831307233,0.9445073419992696,3,1,0,0,2,2,0,100,0.18181818181818182,0.3
correlated_noise,No-StepA-FixedK,13,200,100,10,3,ok,,1.0,1.0,0.8537867969971558,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,13,200,100,10,3,ok,,0.5814017251199509,0.7646043449905577,1.01165162399775,6,0,1,0,4,4,0,42,0.38461538461538464,1.0
correlated_noise,Fixed-K,14,200,100,10,3,ok,,1.0,1.0,1.109708750002028,3,1,0,0,0,0,0,52,0.3225806451612903,1.0
correlated_noise,Full-DIVI,14,200,100,10,3,ok,,0.6928781380733137,0.6822987998378633,1.0273787610021827,3,1,0,0,2,2,0,53,0.31746031746031744,1.0
correlated_noise,No-Gating,14,200,100,10,3,ok,,0.5111669232997521,0.5979760075826087,0.5998493189981673,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,14,200,100,10,3,ok,,0.5674455690925648,0.5990829760517924,0.9131794160020945,3,1,0,0,2,2,0,100,0.18181818181818182,0.5
correlated_noise,No-StepA-FixedK,14,200,100,10,3,ok,,0.9848865697285946,0.9763112474994167,1.2145471800031373,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,14,200,100,10,3,ok,,0.6941713777965149,0.7962323094730305,1.3470543269977497,6,0,1,0,4,4,0,52,0.3225806451612903,1.0
correlated_noise,Fixed-K,15,200,100,10,3,ok,,1.0,1.0,1.1083915129966044,3,1,0,0,0,0,0,53,0.31746031746031744,1.0
correlated_noise,Full-DIVI,15,200,100,10,3,ok,,0.687917489776321,0.6918019578831814,1.4477489570017497,3,1,0,0,2,2,0,49,0.3389830508474576,1.0
correlated_noise,No-Gating,15,200,100,10,3,ok,,0.4451582754296623,0.5184153616670056,0.6048262939984852,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,15,200,100,10,3,ok,,0.44362853948060377,0.5213828024407801,1.309803030002513,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
correlated_noise,No-StepA-FixedK,15,200,100,10,3,ok,,1.0,1.0,0.8678397380026581,3,1,0,0,0,0,0,100,0.18181818181818182,0.9
correlated_noise,Unsafe-Split,15,200,100,10,3,ok,,0.5603085620454317,0.7454033775088429,1.0695974930022203,6,0,1,0,4,4,0,43,0.37735849056603776,1.0
correlated_noise,Fixed-K,16,200,100,10,3,ok,,1.0,1.0,1.094076331002725,3,1,0,0,0,0,0,50,0.3333333333333333,1.0
correlated_noise,Full-DIVI,16,200,100,10,3,ok,,0.5998536914191166,0.6465746451835248,1.0396095600008266,3,1,0,0,2,2,0,46,0.35714285714285715,1.0
correlated_noise,No-Gating,16,200,100,10,3,ok,,0.5382323032042499,0.6552250503654662,0.6379683810009737,2,0,0,1,1,1,0,100,,
correlated_noise,No-StepA,16,200,100,10,3,ok,,0.4760174301101563,0.5430900469462331,0.9246003779990133,3,1,0,0,2,2,0,100,0.18181818181818182,0.4
correlated_noise,No-StepA-FixedK,16,200,100,10,3,ok,,1.0,1.0,0.904541251999035,3,1,0,0,0,0,0,100,0.18181818181818182,0.8
correlated_noise,Unsafe-Split,16,200,100,10,3,ok,,0.5668085882447428,0.7606089457380107,1.02913955600161,6,0,1,0,4,4,0,45,0.36363636363636365,1.0
