design,seed,n,d,d_info,delta,status,error,method,ARI,NMI,runtime_sec,final_K,feature_f1_thresh,feature_f1_top_union,active_dims,feature_auroc,feature_auprc,S12_mean_gate,S12_top_recall,S13_mean_gate,S13_top_recall,S23_mean_gate,S23_top_recall,noise_mean_gate,gate_signal_noise_gap
global_support,4,600,200,15,1.0,ok,,Diag-GMM,0.9652094215164384,0.9373777737775941,0.0914475859990489,3,,,,,,,,,,,,,
global_support,4,600,200,15,1.0,ok,,DIVI-Info,0.9651843381866018,0.9373701116824277,3.558304363001298,3,0.9375,1.0,17.0,1.0,1.0,0.9480513334274292,1.0,0.9436586499214172,1.0,0.9456341862678528,1.0,0.20881636440753937,0.7369650602340698
global_support,5,600,200,15,1.0,ok,,K-means,0.9849878166277639,0.9734300455833589,0.1782446239994897,3,,,,,,,,,,,,,
global_support,5,600,200,15,1.0,ok,,Diag-GMM,0.9850001687576281,0.9713385371065009,0.14843678400029603,3,,,,,,,,,,,,,
global_support,5,600,200,15,1.0,ok,,DIVI-Info,0.9850377307840942,0.9734455812074275,3.032063612999991,3,0.6363636363636364,0.8666666666666667,29.0,0.9895495495495497,0.9368686868686869,0.9478863477706909,1.0,0.613974928855896,0.6,0.947705090045929,1.0,0.2682657241821289,0.5682563781738281
global_support,6,600,200,15,1.0,ok,,K-means,0.9505994213912626,0.9172004063424709,0.10722335500031477,3,,,,,,,,,,,,,
global_support,6,600,200,15,1.0,ok,,Diag-GMM,0.9652094215164384,0.9373777737775941,0.11855485700107238,3,,,,,,,,,,,,,
global_support,6,600,200,15,1.0,ok,,DIVI-Info,0.9751173368019517,0.9543619672379726,2.529311232001419,3,0.8333333333333334,1.0,21.0,1.0,1.0,0.9454951286315918,1.0,0.946973443031311,1.0,0.9424017071723938,1.0,0.22341205179691315,0.7215448021888733
global_support,7,600,200,15,1.0,ok,,K-means,0.9506771606303388,0.9201020352394343,0.10725809199902869,3,,,,,,,,,,,,,
global_support,7,600,200,15,1.0,ok,,Diag-GMM,0.9701640069788814,0.9469168085477443,0.09459774199967796,3,,,,,,,,,,,,,
global_support,7,600,200,15,1.0,ok,,DIVI-Info,0.9701640069788814,0.9469168085477443,2.2582874590007123,3,0.9375,1.0,17.0,1.0,1.0,0.9412363171577454,1.0,0.943081259727478,1.0,0.9475820660591125,1.0,0.20859098434448242,0.7353755831718445
