dataset_variant,method,method_label,runtime_axis,runtime_value,n_runs,ari_mean,ari_sd,nmi_mean,nmi_sd,final_K_mean,final_K_sd,selected_dims_count_mean,selected_dims_count_sd,wallclock_total_sec_mean,wallclock_total_sec_sd,peak_memory_mb_mean,peak_memory_mb_sd,split_count_mean,split_count_sd
synthetic_n500_d500_noise3.0,gmm_oracle,GMM,N,500,2,0.4214178568044012,0.014140434289915328,0.45981125774348885,0.005351783639541326,3.0,0.0,,0.0,0.630279,0.06344444883518181,508.744140625,5.974499873853524,0.0,0.0
synthetic_n1000_d1000_noise3.0,gmm_oracle,GMM,N,1000,15,0.45691797580240273,0.06731817279838258,0.502694136705626,0.06994651973065351,3.0,0.0,,0.0,2.858250333333333,0.5483958302499424,861.08828125,65.68729006925706,0.0,0.0
synthetic_n2000_d1000_noise3.0,gmm_oracle,GMM,N,2000,15,0.4867650183989491,0.09870941670664096,0.518454087463056,0.06849663125862004,3.0,0.0,,0.0,4.565444933333334,0.6928142362971957,1088.5106770833333,99.31834307559166,0.0,0.0
synthetic_n5000_d1000_noise3.0,gmm_oracle,GMM,N,5000,15,0.977976671742302,0.0027595195496723634,0.9594269114271293,0.004264045490385143,3.0,0.0,,0.0,23.361743399999998,0.795507676602432,1025.0174479166667,148.9809218386879,0.0,0.0
synthetic_n200_d1000_noise3.0,kmeans_oracle,KMeans,N,200,15,0.05160181582788999,0.03638713552282802,0.06029872683415949,0.03324177836872628,3.0,0.0,,0.0,0.06778573333333333,0.08837539228320022,857.6036458333333,118.26719763860805,0.0,0.0
synthetic_n200_d500_noise3.0,kmeans_oracle,KMeans,N,200,2,0.36652498187994187,0.07743531522340959,0.3955951653847126,0.09558686441515203,3.0,0.0,,0.0,0.032395999999999994,0.0004256782822743004,532.552734375,0.06905339660024878,0.0,0.0
synthetic_n500_d1000_noise3.0,kmeans_oracle,KMeans,N,500,15,0.3623243768831542,0.023118560442161113,0.39357843932377495,0.029024386517896454,3.0,0.0,,0.0,0.2931629333333333,0.13586252759655185,799.378125,72.4243394984188,0.0,0.0
synthetic_n500_d500_noise3.0,kmeans_oracle,KMeans,N,500,2,0.48387354684507655,0.036742805365477284,0.4928904544513368,0.013050170059302523,3.0,0.0,,0.0,0.0848575,0.0009128748545118332,508.740234375,5.974499873853524,0.0,0.0
synthetic_n1000_d1000_noise3.0,kmeans_oracle,KMeans,N,1000,15,0.5047903179229752,0.03714530923591575,0.536119306581021,0.05800782695221004,3.0,0.0,,0.0,0.5091404,0.25109486662580055,861.08828125,65.68729006925706,0.0,0.0
synthetic_n2000_d1000_noise3.0,kmeans_oracle,KMeans,N,2000,15,0.8004262072649748,0.047239858495354156,0.7628144967767052,0.04370861681925529,3.0,0.0,,0.0,1.3619880666666668,0.32349367073703905,1088.5106770833333,99.31834307559166,0.0,0.0
synthetic_n5000_d1000_noise3.0,kmeans_oracle,KMeans,N,5000,15,0.9804567360009749,0.0017038040389902958,0.9633332893313132,0.0027270830247157077,3.0,0.0,,0.0,2.6986790666666667,0.6159142610391096,1025.0174479166667,148.9809218386879,0.0,0.0
synthetic_n200_d1000_noise3.0,spkm,SPKM,N,200,15,1.0,0.0,1.0,0.0,3.0,0.0,208.0,0.0,0.18993073333333335,0.12336288462179186,855.58671875,122.99687075826779,0.0,0.0
synthetic_n200_d500_noise3.0,spkm,SPKM,N,200,2,1.0,0.0,1.0,0.0,3.0,0.0,188.0,0.0,0.116008,0.0011158145007123693,532.595703125,0.013810679320049757,0.0,0.0
synthetic_n500_d1000_noise3.0,spkm,SPKM,N,500,15,1.0,0.0,1.0,0.0,3.0,0.0,471.0,0.0,0.38360039999999995,0.017049527654956983,792.77421875,84.47170446408465,0.0,0.0
synthetic_n500_d500_noise3.0,spkm,SPKM,N,500,2,0.9939820863447736,0.0,0.9888620561213708,0.0,3.0,0.0,466.0,0.0,0.2302035,0.011345528304138158,508.744140625,5.974499873853524,0.0,0.0
synthetic_n1000_d1000_noise3.0,spkm,SPKM,N,1000,15,0.9970015045323,4.596760034896314e-16,0.9938029489046496,0.0,3.0,0.0,871.0,0.0,0.9934849333333333,0.29146434908418334,861.08828125,65.68729006925706,0.0,0.0
synthetic_n2000_d1000_noise3.0,spkm,SPKM,N,2000,15,0.9984988740632053,3.447570026172235e-16,0.9965853313238785,2.298380017448157e-16,3.0,0.0,783.0,0.0,2.1906093333333336,0.4157042855484906,1066.6481770833334,109.70308655572255,0.0,0.0
synthetic_n5000_d1000_noise3.0,spkm,SPKM,N,5000,15,0.994608107236344,3.447570026172235e-16,0.9878178584818716,2.298380017448157e-16,3.0,0.0,571.0,0.0,6.3362404,0.42698172591739797,1025.0174479166667,148.9809218386879,0.0,0.0
