scenario,n,d,k,d_info,delta,noise_sd,seed,method,status,error,ARI,NMI,runtime_sec,final_K,active_dims,feature_f1_thresh,feature_f1_topd
high_dim_scaling,600,500,3,10,2.0,3.0,8,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,7.314161985000055,3,60.0,0.2857142857142857,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,8,K-means,ok,,0.4830033115428331,0.5303609469355662,0.16437837500006935,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,diag-GMM,ok,,1.0,1.0,0.44762718900005893,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,PCA(50)+K-means,ok,,0.8061160125277645,0.7664952706479596,0.07988094100005583,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,8,PCA(50)+diag-GMM,ok,,0.9604686721772941,0.9341742898626085,0.1202459120002004,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,9,DIVI-Info,ok,,1.0,1.0,7.597415501999876,3,37.0,0.425531914893617,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,9,K-means,ok,,0.5829100004960106,0.5646079551667769,0.2833322940000471,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,9,diag-GMM,ok,,0.9900168347249766,0.9829929733076637,0.45507954400000017,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,9,PCA(50)+K-means,ok,,0.7340431165841453,0.7024442507150472,0.14943082099989624,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,9,PCA(50)+diag-GMM,ok,,0.4425004875462585,0.5195983288008051,0.2324941360000139,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,10,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,6.281717053999955,3,56.0,0.30303030303030304,1.0
high_dim_scaling,600,500,3,10,2.0,3.0,10,K-means,ok,,0.552876956041672,0.5463516204529457,0.177866141000095,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,10,diag-GMM,ok,,0.9900041668585104,0.9808938144286627,0.34609979399988333,3,,,
high_dim_scaling,600,500,3,10,2.0,3.0,10,PCA(50)+K-means,ok,,0.623791534990989,0.6077331623161605,0.09253961200010963,3,50.0,,
high_dim_scaling,600,500,3,10,2.0,3.0,10,PCA(50)+diag-GMM,ok,,0.9702005025125628,0.9469297694792819,0.1349914960001115,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,1,DIVI-Info,ok,,1.0,1.0,14.684017462000156,3,87.0,0.20618556701030927,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,1,K-means,ok,,0.3762077479560446,0.4205400121932845,0.37153925500001606,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,1,diag-GMM,ok,,0.45648631661810724,0.49453990758825184,0.55201463100002,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,1,PCA(50)+K-means,ok,,0.4179244283694024,0.43772126599677796,0.1284855790001984,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,1,PCA(50)+diag-GMM,ok,,0.9064171594600544,0.8739188566186085,0.2165923179998117,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,2,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,14.212899933000017,3,79.0,0.2247191011235955,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,2,K-means,ok,,0.3350762991157998,0.38252428722392834,0.38712352700008523,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,2,diag-GMM,ok,,0.48044031476541865,0.5333686170828237,0.449724728000092,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,2,PCA(50)+K-means,ok,,0.4370599334506162,0.46923126750303995,0.12433662499984166,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,2,PCA(50)+diag-GMM,ok,,0.3971964879230023,0.46376761045314624,0.17349589600007675,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,3,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,14.758085730999937,3,85.0,0.21052631578947367,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,3,K-means,ok,,0.39858734649053845,0.42724753033851975,0.41398740499994346,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,3,diag-GMM,ok,,0.5343926315280855,0.5306867048658408,0.611479208999981,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,3,PCA(50)+K-means,ok,,0.41838625956678427,0.4333269493381468,0.1210554190001858,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,3,PCA(50)+diag-GMM,ok,,0.4049062828356149,0.4499778640476669,0.2279254770000989,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,4,DIVI-Info,ok,,0.9949958125176231,0.990445010867515,15.009837048999998,3,78.0,0.22727272727272727,1.0
high_dim_scaling,600,1000,3,10,2.0,3.0,4,K-means,ok,,0.4096263093263079,0.42929816691152156,0.36457861100006994,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,4,diag-GMM,ok,,0.44463027761797197,0.4957757626998923,0.5427095089999057,3,,,
high_dim_scaling,600,1000,3,10,2.0,3.0,4,PCA(50)+K-means,ok,,0.5109832763814162,0.5144269375270668,0.13950528700001996,3,50.0,,
high_dim_scaling,600,1000,3,10,2.0,3.0,4,PCA(50)+diag-GMM,ok,,0.4441688764522732,0.49618671062706743,0.30125642199982394,3,50.0,,
