dataset,method,runtime_axis,runtime_value,ari__mean,ari__std,ari__median,nmi__mean,nmi__std,nmi__median,f1_feature__mean,f1_feature__std,f1_feature__median,acc__mean,acc__std,acc__median,final_K__mean,final_K__std,final_K__median,selected_dims_count__mean,selected_dims_count__std,selected_dims_count__median,selected_dims_ratio__mean,selected_dims_ratio__std,selected_dims_ratio__median,wallclock_total_sec__mean,wallclock_total_sec__std,wallclock_total_sec__median,peak_memory_mb__mean,peak_memory_mb__std,peak_memory_mb__median,split_count__mean,split_count__std,split_count__median
synthetic,kmeans_oracle,N,2000,0.8004262072649748,0.04723985849535415,0.8027641588005743,0.7628144967767053,0.04370861681925528,0.7673946172949966,,,,0.9269999999999999,0.01905255888325766,0.9285,3.0,0.0,3.0,,,,,,,1.3619880666666666,0.3234936707370391,1.247411,1088.5106770833333,99.31834307559166,1076.9609375,0.0,0.0,0.0
synthetic,kmeans_oracle,N,5000,0.9804567360009749,0.0017038040389902977,0.980930563614288,0.9633332893313132,0.0027270830247156917,0.9643814906249448,,,,0.99344,0.0005766900628340018,0.9936,3.0,0.0,3.0,,,,,,,2.6986790666666667,0.6159142610391095,2.507007,1025.0174479166667,148.98092183868786,1097.06640625,0.0,0.0,0.0
synthetic,spkm,D,100,1.0,0.0,1.0,1.0,0.0,1.0,0.1904761904761904,0.0,0.1904761904761904,1.0,0.0,1.0,3.0,0.0,3.0,95.0,0.0,95.0,0.95,0.0,0.95,0.1226785,0.02327798975653317,0.12523099999999998,474.8484375,11.085079644978002,473.88671875,0.0,0.0,0.0
synthetic,spkm,D,500,0.994003000015024,0.0,0.994003000015024,0.9876059147486773,0.0,0.9876059147486772,0.0436681222707423,0.0,0.0436681222707423,0.998,0.0,0.998,3.0,0.0,3.0,448.0,0.0,448.0,0.8960000000000001,0.0,0.896,0.5408545499999999,0.16697067451989572,0.482067,554.621875,37.09210231675081,557.7578125,0.0,0.0,0.0
synthetic,spkm,D,1000,0.9970015045323003,0.0,0.9970015045323004,0.9938029489046496,0.0,0.9938029489046496,0.0226500566251415,0.0,0.0226500566251415,0.999,0.0,0.999,3.0,0.0,3.0,873.0,0.0,873.0,0.873,0.0,0.873,0.9804873888888888,0.3583393668385483,0.8600025,741.3569878472222,89.91926395267224,766.580078125,0.0,0.0,0.0
synthetic,spkm,D,2000,0.9970015045323005,0.0,0.9970015045323004,0.9938029489046496,0.0,0.9938029489046496,0.0236966824644549,0.0,0.0236966824644549,0.999,0.0,0.999,3.0,0.0,3.0,834.0,0.0,834.0,0.417,0.0,0.417,2.2160754,0.6595211907753121,1.805496,991.5265625,116.87107677895372,995.60546875,0.0,0.0,0.0
synthetic,spkm,D,5000,0.9940120180601144,0.0,0.9940120180601144,0.9876086482064032,0.0,0.9876086482064032,0.0223713646532438,0.0,0.0223713646532438,0.998,0.0,0.998,3.0,0.0,3.0,884.0,0.0,884.0,0.1768,0.0,0.1768,4.5696062,0.6798758186487546,4.189408,939.3013020833333,117.45516190982083,993.453125,0.0,0.0,0.0
synthetic,spkm,N,200,1.0,0.0,1.0,1.0,0.0,1.0,0.091743119266055,0.0,0.091743119266055,1.0,0.0,1.0,3.0,0.0,3.0,208.0,0.0,208.0,0.208,0.0,0.208,0.18993073333333335,0.12336288462179185,0.140709,855.58671875,122.99687075826778,867.38671875,0.0,0.0,0.0
synthetic,spkm,N,500,1.0,0.0,1.0,1.0,0.0,1.0,0.0415800415800415,0.0,0.0415800415800415,1.0,0.0,1.0,3.0,0.0,3.0,471.0,0.0,471.0,0.471,0.0,0.471,0.38360039999999995,0.01704952765495698,0.380719,792.77421875,84.4717044640847,811.84375,0.0,0.0,0.0
synthetic,spkm,N,1000,0.9970015045323005,0.0,0.9970015045323004,0.9938029489046496,0.0,0.9938029489046496,0.0227014755959137,0.0,0.0227014755959137,0.999,0.0,0.999,3.0,0.0,3.0,871.0,0.0,871.0,0.871,0.0,0.871,0.9934849333333333,0.29146434908418334,0.874335,861.08828125,65.68729006925706,883.31640625,0.0,0.0,0.0
synthetic,spkm,N,2000,0.998498874063205,0.0,0.998498874063205,0.9965853313238788,0.0,0.9965853313238788,0.0252206809583858,0.0,0.0252206809583858,0.9995,0.0,0.9995,3.0,0.0,3.0,783.0,0.0,783.0,0.783,0.0,0.783,2.1906093333333336,0.41570428554849054,1.985875,1066.6481770833334,109.70308655572255,1051.2890625,0.0,0.0,0.0
